category,name,source_path,description,status,notes
component,SecretsManagerModal,packages/frontend/src/components/freeAgent/SecretsManagerModal.vue,Per-tool secret overrides,discovered,Phase 5
agent,Workflow Agent,packages/frontend/src/components/workflow/AgentNode.vue,LLM-backed node in workflow,ported,
agent,Free Agent,packages/frontend/src/components/freeAgent/FreeAgentNode.vue,Iterative root agent,ported,
agent,Child Agent,packages/frontend/src/components/freeAgent/ChildAgentNode.vue,Sub-agent spawned by free agent,ported,
tool,brave_search,packages/backend/src/routes/tools/search.ts,Web search,ported,
tool,google_search,packages/backend/src/routes/tools/search.ts,Web search,ported,
tool,web_scrape,packages/backend/src/routes/tools/scrape.ts,Page extractor,ported,
tool,api_call,packages/backend/src/routes/tools/apiCall.ts,Generic HTTP,ported,
tool,github,packages/backend/src/routes/tools/github.ts,GitHub fetch,ported,
tool,email,packages/backend/src/routes/tools/email.ts,Email sender,ported,
tool,tts,packages/backend/src/routes/tools/tts.ts,ElevenLabs voice,ported,
tool,db,packages/backend/src/routes/tools/db.ts,External DB,ported,
tool,pdf,packages/backend/src/routes/tools/pdf.ts,PDF parse,ported,
tool,ocr,packages/backend/src/routes/tools/ocr.ts,OCR,ported,
tool,zip,packages/backend/src/routes/tools/zip.ts,Zip handler,ported,
workflow,Stage,packages/frontend/src/components/workflow/Stage.vue,Logical workflow stage,ported,
workflow,WorkflowNodeComponent,packages/frontend/src/components/workflow/WorkflowNodeComponent.vue,xyflow node renderer,ported,
integration,Anthropic Claude,packages/backend/src/routes/agents/anthropic.ts,LLM provider,ported,Model IDs need centralized config
integration,Google Gemini,packages/backend/src/routes/agents/gemini.ts,LLM provider,ported,
integration,xAI Grok,packages/backend/src/routes/agents/xai.ts,LLM provider,ported,
integration,Brave Search API,packages/backend/src/routes/tools/search.ts,Search provider,ported,
integration,ElevenLabs TTS,packages/backend/src/routes/tools/tts.ts,Voice synthesis,ported,
integration,Resend Email,packages/backend/src/routes/tools/email.ts,Transactional email,ported,
integration,Google Vision OCR,packages/backend/src/routes/tools/ocr.ts,OCR provider,ported,
integration,EntraID SSO,docs/PRIVACY_CONTROLS.md,MSAL Microsoft identity for ministry detection,discovered,Required for GoA deploy
integration,Vertex AI,docs/PRIVACY_CONTROLS.md,Alternate Anthropic endpoint via GoA Vertex token,discovered,Required for production
dependency,Vue 3,packages/frontend/package.json,Frontend framework,ported,
dependency,Fastify 5,packages/backend/package.json,Backend framework,ported,
dependency,@xyflow/vue,packages/frontend/package.json,Canvas graph,ported,
dependency,Pinia,packages/frontend/package.json,State management,ported,
dependency,Tailwind,packages/frontend/package.json,Styling,ported,
dependency,@anthropic-ai/sdk,packages/backend/package.json,Claude SDK,ported,
dependency,pg,packages/backend/package.json,Postgres driver,ported,
